schema_version,record_id,dataset_id,source_url,source_version,license_spdx,source_split,image_path,label_path,label_sha256,sha256,source_key,lineage_id,component_id,ahash64,dhash64,included,final_split,exclusion_reason,instances_person,instances_helmet,instances_vest,instances_bare_head
eovrt.finetuning-split.v1,candidate:construction_site_safety:train:datasets/raw/construction_site_safety/train/images/-1670-_png_jpg.rf.0123125bb5159f8434130dcf436fd887.jpg,construction_site_safety,https://universe.roboflow.com/roboflow-universe-projects/construction-site-safety,27,CC-BY-4.0,train,datasets/raw/construction_site_safety/train/images/-1670-_png_jpg.rf.0123125bb5159f8434130dcf436fd887.jpg,datasets/processed/yolo/canonical_v2/construction_site_safety/labels/train/-1670-_png_jpg.rf.0123125bb5159f8434130dcf436fd887.txt,bd210cac940bf546db3635801d6a6d48d9b9a2fd3b44f2dbfccbf17aae862fb5,7199d3ccef0c94cc7c7698ea7d6121ca4f33b76d48e647a910d82bb583ef946e,construction_site_safety:-1670-_png_jpg,construction_site_safety:-1670-_png_jpg,grp_890920a319133eb9,ff98f8e0e0e04870,e2cced6c7af6671a,true,train,,5,2,1,0
eovrt.finetuning-split.v1,candidate:construction_site_safety:train:datasets/raw/construction_site_safety/train/images/-1670-_png_jpg.rf.2ac42681fa66c65ac7594b891b529f77.jpg,construction_site_safety,https://universe.roboflow.com/roboflow-universe-projects/construction-site-safety,27,CC-BY-4.0,train,datasets/raw/construction_site_safety/train/images/-1670-_png_jpg.rf.2ac42681fa66c65ac7594b891b529f77.jpg,datasets/processed/yolo/canonical_v2/construction_site_safety/labels/train/-1670-_png_jpg.rf.2ac42681fa66c65ac7594b891b529f77.txt,cb1cf28023edb897a4ebfd1cdaf07dc76f3a6b8f7be55b1d2367b0a1b40a29ae,e64e3d60634ee2e66a49a269e112940e921f17328b6c117877caae0b6a7c6477,construction_site_safety:-1670-_png_jpg,construction_site_safety:-1670-_png_jpg,grp_890920a319133eb9,e1f81f0303ffe149,7c5e0a3119343e6e,true,train,,9,6,0,1
eovrt.finetuning-split.v1,candidate:construction_site_safety:train:datasets/raw/construction_site_safety/train/images/-1670-_png_jpg.rf.2ef0952f6731ec685d1d25d38a6e934c.jpg,construction_site_safety,https://universe.roboflow.com/roboflow-universe-projects/construction-site-safety,27,CC-BY-4.0,train,datasets/raw/construction_site_safety/train/images/-1670-_png_jpg.rf.2ef0952f6731ec685d1d25d38a6e934c.jpg,datasets/processed/yolo/canonical_v2/construction_site_safety/labels/train/-1670-_png_jpg.rf.2ef0952f6731ec685d1d25d38a6e934c.txt,5107b751317f6cdefdf4107155a1ae70e47be9bc45e4e39099b57c4c2c935654,20eb0bed70cfb57dad60ead9014ce1aaa2aa60cc2b55ce27f474647545f7a8d8,construction_site_safety:-1670-_png_jpg,construction_site_safety:-1670-_png_jpg,grp_890920a319133eb9,fcfcfcfef8301303,1e4e56572c9c9c45,true,train,,4,4,0,1
eovrt.finetuning-split.v1,candidate:construction_site_safety:train:datasets/raw/construction_site_safety/train/images/-1670-_png_jpg.rf.424337c85f2ffeb9fb3a42f77af2f6e2.jpg,construction_site_safety,https://universe.roboflow.com/roboflow-universe-projects/construction-site-safety,27,CC-BY-4.0,train,datasets/raw/construction_site_safety/train/images/-1670-_png_jpg.rf.424337c85f2ffeb9fb3a42f77af2f6e2.jpg,datasets/processed/yolo/canonical_v2/construction_site_safety/labels/train/-1670-_png_jpg.rf.424337c85f2ffeb9fb3a42f77af2f6e2.txt,9ad0f0d1e974e26e8114a60ae52e8cb57ffffc3914fce89c8c935528c1c7b6c8,d300c9973e02e7f0bfbe154fcd75d0184e1fdd344b56049cf997854189f78a6e,construction_site_safety:-1670-_png_jpg,construction_site_safety:-1670-_png_jpg,grp_890920a319133eb9,cfc0c4ff143caf87,c4d2f3918babb2d3,true,train,,4,3,0,0
eovrt.finetuning-split.v1,candidate:construction_site_safety:train:datasets/raw/construction_site_safety/train/images/-1670-_png_jpg.rf.b78b932a9dd4325b9f2268f257195a81.jpg,construction_site_safety,https://universe.roboflow.com/roboflow-universe-projects/construction-site-safety,27,CC-BY-4.0,train,datasets/raw/construction_site_safety/train/images/-1670-_png_jpg.rf.b78b932a9dd4325b9f2268f257195a81.jpg,datasets/processed/yolo/canonical_v2/construction_site_safety/labels/train/-1670-_png_jpg.rf.b78b932a9dd4325b9f2268f257195a81.txt,1ec2efb26f77e81365eb756a7f5d31ff07ae3dd3e6bda168ff9c088fa327c898,111c589c0622aa2fefa9d17c06f20a0a2ed44b5559ee9a26d2bfe1d7e0eef36a,construction_site_safety:-1670-_png_jpg,construction_site_safety:-1670-_png_jpg,grp_890920a319133eb9,fcfcfc8ec8ce0f00,4b4b87e3e5e7e74a,true,train,,4,3,0,0
eovrt.finetuning-split.v1,candidate:construction_site_safety:train:datasets/raw/construction_site_safety/train/images/-1680-_png_jpg.rf.04bfd000d8ef72cb0a5f2b2d1bfb75ee.jpg,construction_site_safety,https://universe.roboflow.com/roboflow-universe-projects/construction-site-safety,27,CC-BY-4.0,train,datasets/raw/construction_site_safety/train/images/-1680-_png_jpg.rf.04bfd000d8ef72cb0a5f2b2d1bfb75ee.jpg,datasets/processed/yolo/canonical_v2/construction_site_safety/labels/train/-1680-_png_jpg.rf.04bfd000d8ef72cb0a5f2b2d1bfb75ee.txt,ceb0f7999c6e2c8ad87993132ad363a96654f1e1d5cca9454e844a7f662b8601,22af986b9638bd7298a2e731e7fbb61f8da2d17dff0b82b7d4bf141a3bbff844,construction_site_safety:-1680-_png_jpg,construction_site_safety:-1680-_png_jpg,grp_811480bdec74c7f9,fc0e0e0ffc7f9b99,8fa7e7679f49ccce,true,train,,3,3,0,0
eovrt.finetuning-split.v1,candidate:construction_site_safety:train:datasets/raw/construction_site_safety/train/images/-1680-_png_jpg.rf.22742422c61f16531181cfd14230ad7c.jpg,construction_site_safety,https://universe.roboflow.com/roboflow-universe-projects/construction-site-safety,27,CC-BY-4.0,train,datasets/raw/construction_site_safety/train/images/-1680-_png_jpg.rf.22742422c61f16531181cfd14230ad7c.jpg,datasets/processed/yolo/canonical_v2/construction_site_safety/labels/train/-1680-_png_jpg.rf.22742422c61f16531181cfd14230ad7c.txt,d69882d1d53dc6abcf7aeed708030002f7fe673ffe4529277d04b14e5e2f5785,add3bf9ee7aeb50c55d989c9df5869064c2023be4e65edcb5eae957a5e9739c0,construction_site_safety:-1680-_png_jpg,construction_site_safety:-1680-_png_jpg,grp_811480bdec74c7f9,7bfbfff8e0e0c000,4c6ca42e7d66ef6f,true,train,,1,0,0,0
eovrt.finetuning-split.v1,candidate:construction_site_safety:train:datasets/raw/construction_site_safety/train/images/-1680-_png_jpg.rf.2ce93874159caaffa8eee27ab1fffcd5.jpg,construction_site_safety,https://universe.roboflow.com/roboflow-universe-projects/construction-site-safety,27,CC-BY-4.0,train,datasets/raw/construction_site_safety/train/images/-1680-_png_jpg.rf.2ce93874159caaffa8eee27ab1fffcd5.jpg,datasets/processed/yolo/canonical_v2/construction_site_safety/labels/train/-1680-_png_jpg.rf.2ce93874159caaffa8eee27ab1fffcd5.txt,76962d5dade89231d0e90d5dd219257739b1a9ba7749542b6864c715432c10e1,9e109f2bb8abee1599a54a635b6e9db0808f310c0f9c644765fc6d8018d7c9c9,construction_site_safety:-1680-_png_jpg,construction_site_safety:-1680-_png_jpg,grp_811480bdec74c7f9,ffbf0f1f30732220,d7a7a48b9b3835bf,true,train,,4,6,0,0
eovrt.finetuning-split.v1,candidate:construction_site_safety:train:datasets/raw/construction_site_safety/train/images/-1680-_png_jpg.rf.ab912562cce7c4bd9616cc2e4a125595.jpg,construction_site_safety,https://universe.roboflow.com/roboflow-universe-projects/construction-site-safety,27,CC-BY-4.0,train,datasets/raw/construction_site_safety/train/images/-1680-_png_jpg.rf.ab912562cce7c4bd9616cc2e4a125595.jpg,datasets/processed/yolo/canonical_v2/construction_site_safety/labels/train/-1680-_png_jpg.rf.ab912562cce7c4bd9616cc2e4a125595.txt,2b6de23183c626aeea9caf1a85f3375ed2a3ca72bfc4a5a566e96f0449e000ee,f2d5331c8f65eb0a58ea2c92a86597e40bf5296cebab1f50e56dbe9986bc46d7,construction_site_safety:-1680-_png_jpg,construction_site_safety:-1680-_png_jpg,grp_811480bdec74c7f9,9f0f3bfdfd800000,c8888d8e6ee9e963,true,train,,7,1,1,0
eovrt.finetuning-split.v1,candidate:construction_site_safety:train:datasets/raw/construction_site_safety/train/images/-1680-_png_jpg.rf.ec28da933222d619e03ce4b229995faa.jpg,construction_site_safety,https://universe.roboflow.com/roboflow-universe-projects/construction-site-safety,27,CC-BY-4.0,train,datasets/raw/construction_site_safety/train/images/-1680-_png_jpg.rf.ec28da933222d619e03ce4b229995faa.jpg,datasets/processed/yolo/canonical_v2/construction_site_safety/labels/train/-1680-_png_jpg.rf.ec28da933222d619e03ce4b229995faa.txt,f4973f7b3b5b3c339eb3238cda5ce618c2e16f155c7c3038edcafacf8251cb0e,d0d7c02cc65f32049a44b5564acccae710d32336a8924d9b5206e0c8c2772556,construction_site_safety:-1680-_png_jpg,construction_site_safety:-1680-_png_jpg,grp_811480bdec74c7f9,ff130030fcf8f8fc,59489b1e56964fce,true,train,,5,3,0,1
