series,origin,run_id,alert_id,notification_id,record_index,attempt,outcome,mode,latency_mode,talert_notification_ms,witness_multiplicity,payload_bytes,first_delivery,eligible_primary
primary,dbe,control_b1_barehead_a_p1_c02_20260804T170741Z,9e1d7e76-77bb-5751-9d4e-1032578a81f1,976e601d23bb4cc2,0,1,delivered,live,live,48.827392578125,1,1030,True,True
primary,dbe,control_b1_barehead_a_p1_c03_20260804T171011Z,ca25307a-9722-59f1-b44f-42a6aed0b993,6b7e772dd249af80,0,1,delivered,live,live,37.647705078125,1,1030,True,True
primary,dbe,control_b1_barehead_a_p1_c04_20260804T171344Z,ca3d6b7d-f204-54dd-98db-92c25b77693b,90d6361b7b7c3db4,0,1,delivered,live,live,43.080322265625,1,1030,True,True
primary,dbe,control_b1_barehead_a_p1_c05_20260804T171558Z,9d51155c-8fae-53cd-a753-e1674916e5a1,f38c2e19f326eae9,0,1,delivered,live,live,34.350830078125,1,1029,True,True
primary,dbe,control_b1_barehead_a_p1_c06_20260804T171751Z,fc22d70d-7269-520c-a640-a8eadeab3657,dfdc4400bc45166c,0,1,delivered,live,live,41.22900390625,1,1028,True,True
primary,dbe,control_b1_barehead_a_p1_c07_20260804T171926Z,b11847b0-93ff-5146-b8ce-8b679bac1489,4d5db80d2ad13f4a,0,1,delivered,live,live,32.8427734375,1,1029,True,True
primary,dbe,control_b1_barehead_a_p1_c08_20260804T172122Z,3d360c8a-0b99-5701-8e19-b6d68c867087,f01428d22b0fdc96,0,1,delivered,live,live,42.8466796875,1,1030,True,True
primary,dbe,control_b1_barehead_a_p1_c09_20260804T172315Z,e2f0714b-fc3d-56a2-b443-de65b5011ec9,758b1b4d20f737a7,0,1,delivered,live,live,30.1767578125,1,1028,True,True
primary,dbe,control_b1_barehead_a_p1_c09_20260804T172315Z,711c7e7c-1b5e-51e7-a1fc-39b2e8124d8b,1908c9899a3e90ed,1,0,suppressed_cooldown,live,,,0,,False,False
primary,dbe,control_b1_barehead_a_p1_c10_20260804T172526Z,cec7b229-0b5f-5e78-b513-e455ffe835a5,7d79e49957797cc5,0,1,delivered,live,live,40.658447265625,1,1029,True,True
primary,dbe,control_b1_barehead_a_p1_c11_20260804T172726Z,d7200371-3bec-5399-b291-0eac484f05c9,1be061a85bf3116d,0,1,delivered,live,live,32.76904296875,1,1030,True,True
primary,dbe,control_b1_barehead_a_p1_c11_20260804T172726Z,3e71b3ba-5e21-5626-a026-b3224bf2bfc1,78a63dff4658936c,1,0,suppressed_cooldown,live,,,0,,False,False
primary,dbe,control_b1_barehead_a_p1_c12_20260804T172921Z,d28ea7a1-29cc-5411-a4e5-97a35c03fdf4,16f1f3a737d45e3f,0,1,delivered,live,live,46.580322265625,1,1029,True,True
primary,dbe,control_b1_barehead_a_p1_c12_20260804T172921Z,a690009d-cba4-5a2d-aa7a-c1b85933aa50,21a308634e067d8a,1,0,suppressed_cooldown,live,,,0,,False,False
primary,dbe,control_b1_barehead_a_p2_c01_20260804T173209Z,27d8dc3c-45e7-5a26-bfd0-a27831219325,2c54a36f675c2ba4,0,1,delivered,live,live,30.355224609375,1,1027,True,True
primary,dbe,control_b1_barehead_a_p2_c01_20260804T173209Z,c63d8fc4-157f-5877-817e-360528859610,d3e5c5b3891949f2,1,0,suppressed_cooldown,live,,,0,,False,False
primary,dbe,control_b1_barehead_a_p2_c02_20260804T173502Z,d7e71acf-7f62-5577-a41c-867dc2f5b967,3cecf96311f556bf,0,1,delivered,live,live,40.361083984375,1,1028,True,True
primary,dbe,control_b1_barehead_a_p2_c03_20260804T173756Z,61661265-dfd3-5333-9655-c54693720640,cbaaee7d1b481da3,0,1,delivered,live,live,43.387939453125,1,1028,True,True
primary,dbe,control_b1_barehead_a_p2_c03_20260804T173756Z,4c9cf51c-b248-51ae-8e35-1fa651caf099,9a8bcb482121c54c,1,0,suppressed_cooldown,live,,,0,,False,False
